FID,OBJECTID,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,GEOID_NUM,FIN_NAME,DIST_NAME,DIST_PLAN,DIST_CODE,DIST_DPFSC,EN_07,EN_08,EN_09,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,F5_NUM_CHG,PPR,PPR MLO,PPR (Includes MLO),MLO Sharing (%),F5_YEAR_GR,POP_TOT,POP_POV,K12_POV,HH_INCOME,ELEM_POP,MIDDLE_POP,HIGH_POP,K12_POP,PERCENT_MINORITY,FRL_PERCENT,ELL_PERCENT,IEP_PERCENT,POV_P,ELEM_QUAL,MIDDLE_QUA,HIGH_QUAL,ELEM_NEED,MI_NEED,HIGH_NEED,Shape__Area,Shape__Length
140,989,8,5610,805610,Meeker School District RE1,0,PK,12,G5420, ,E,4999859368,4511753,39.9487163,-107.8686826,3.903539705,0.527779661,97000US0805610,805610,MEEKER,MEEKER RE1,Distinction,2710,76,690,725,707,667,715,699,710,697,707,745,46,7936,585,8521,N/A,6.6,3622,661,139,53750,313,132,184,629,0.1691,0.34870317,0.073825503,0.119463087,0.221,392,146,207,-79,-14,-23,8537642985,470927.6398
141,990,8,5640,805640,Buffalo School District RE-4,0,KG,12,G5420, ,E,693869563,10107006,40.5239285,-103.3883571,1.722206461,0.074794954,97000US0805640,805640,BUFFALO,BUFFALO RE-4J,Accredited,1860,70,321,294,306,311,309,319,318,315,309,306,-13,10123,0,10123,N/A,-4.1,861,89,18,49118,77,47,35,159,0.1405,0.349673203,0.003267974,0.114379085,0.1132,136,23,93,-59,24,-58,1219018520,220479.7394
142,991,8,5670,805670,Miami-Yoder School District 60-JT,0,PK,12,G5420, ,E,1078492193,1250223,38.8264312,-104.0720267,1.822060033,0.111992936,97000US0805670,805670,MIAMI-YODER,MIAMI/YODER 60 JT,Improvement,1130,48,338,335,329,320,316,268,307,278,291,300,32,10626,144,10769,N/A,11.9,1865,219,64,50602,116,97,136,349,0.29,0.512727273,0.023333333,0.153333333,0.1834,0,0,0,116,97,136,1781216344,224653.194
143,992,8,5700,805700,Moffat Consolidated School District 2,0,PK,12,G5420, ,E,1494706344,742371,37.9600195,-105.7544821,2.161438573,0.153297086,97000US0805700,805700,MOFFAT,MOFFAT 2,Accredited,2800,57,216,210,223,206,216,210,189,196,210,201,-9,7272,1052,8324,1.16,-4.3,1431,368,67,33516,102,34,26,162,0.2289,0.795811518,0.014925373,0.084577114,0.4136,0,24,45,102,10,-19,2409147639,265986.7884
144,993,8,5730,805730,Moffat County School District RE-1,0,PK,12,G5420, ,E,12284800386,19803413,40.6163576,-108.2110988,5.03264629,1.309500455,97000US0805730,805730,MOFFAT,MOFFAT COUNTY RE:NO 1,Accredited,2020,57,2414,2386,2536,2402,2299,2280,2241,2175,2200,2219,-61,7272,1052,8324,N/A,-2.7,12861,1462,266,51387,1101,620,779,2500,0.2821,0.428294574,0.102748986,0.121676431,0.1064,845,474,0,256,146,779,21378597682,615436.3636
145,994,8,5760,805760,Monte Vista School District C-8,0,PK,12,G5420, ,E,553452473,543954,37.4936342,-106.1893961,1.174678516,0.056443731,97000US0805760,805760,MONTE VISTA,MONTE VISTA C-8,Improvement,2740,47,1200,1166,1181,1172,1198,1139,1128,1130,1187,1173,34,7727,175,7902,N/A,3,6084,1121,306,43298,545,303,379,1227,0.7374,0.695340502,0.088661552,0.10400682,0.2494,0,225,272,545,78,107,881562850.3,145697.3859
146,995,8,5790,805790,Montrose County School District RE-1J,0,PK,12,G5420, ,E,3050809332,3760634,38.4514457,-107.9799119,3.536133543,0.31518442,97000US0805790,805790,MONTROSE,MONTROSE COUNTY RE-1J,Improvement,2180,54,6374,6512,6521,6415,6294,6183,6200,6087,6162,6252,69,7562,0,7562,N/A,1.1,38268,7321,1817,44201,3132,1472,2119,6722,0.425,0.468488099,0.152111324,0.119641715,0.2703,990,1252,1689,2142,220,430,4986501185,428289.1577
147,996,8,5820,805820,Lewis-Palmer School District 38,0,PK,12,G5420, ,E,332597397,597391,39.0861956,-104.8585366,1.153997015,0.034686709,97000US0805820,805820,LEWIS-PALMER,LEWIS-PALMER 38,Distinction,1080,81,5865,5817,5950,5977,6076,6153,6275,6207,6343,6577,424,7272,635,7906,0.00,6.9,29816,1543,354,108692,2911,1607,2103,6620,0.1832,0.087760911,0.033297856,0.088034058,0.0535,2756,1592,2229,155,15,-126,553744865.4,138276.0008
148,997,8,5850,805850,West End School District RE-2,0,PK,12,G5420, ,E,2378084726,504738,38.326008,-108.6757307,2.339660499,0.245068456,97000US0805850,805850,WEST END,WEST END RE-2,Improvement,2190,52,335,345,346,347,338,293,258,274,295,299,6,12345,885,13231,0.00,2,1712,289,61,38958,87,58,76,221,0.1204,0.632183908,0.006688963,0.110367893,0.276,0,69,72,87,-11,4,3871438100,281896.1619
149,998,8,5880,805880,Norwood School District R-2J,0,PK,12,G5420, ,E,1991941044,3857456,38.0093735,-108.427326,2.385273269,0.204822922,97000US0805880,805880,NORWOOD,NORWOOD R-2J,Accredited,2840,65,296,300,274,257,280,275,272,287,267,243,-32,11916,1519,13435,N/A,-11.6,1986,293,60,48421,91,51,96,238,0.1235,0.497757848,0.041152263,0.12345679,0.2521,0,50,82,91,1,14,3222724616,289764.2224
150,999,8,5910,805910,South Routt School District RE-3,0,PK,12,G5420, ,E,1512828921,4617266,40.1580319,-106.84578,2.320317603,0.160430589,97000US0805910,805910,SOUTH ROUTT,SOUTH ROUTT RE 3,Accredited,2780,71,431,442,435,409,390,419,407,391,348,353,-66,10511,2660,13171,N/A,-15.8,2915,568,101,55694,164,73,96,333,0.0793,0.400611621,0.025495751,0.133144476,0.3033,0,75,102,164,-2,-6,2601649184,298544.8713
151,1000,8,5940,805940,Otis School District R-3,0,PK,12,G5420, ,E,815305207,27995,40.0538218,-102.8921584,1.441579201,0.086132659,97000US0805940,805940,OTIS,OTIS R-3,Accredited,3050,64,202,192,201,209,191,200,205,226,239,242,42,11594,0,11594,N/A,21,852,71,10,44464,71,52,45,169,0.1074,0.495575221,0.008264463,0.161157025,0.0592,0,0,65,71,52,-20,1395699953,187775.0979
152,1001,8,5970,805970,Ouray School District R-1,0,PK,12,G5420, ,E,391256723,304613,38.0192623,-107.7436964,1.212722412,0.040181502,97000US0805970,805970,OURAY,OURAY R-1,Distinction,2580,83,272,252,230,216,194,184,197,191,188,189,5,14501,906,15408,N/A,2.7,1722,221,17,62500,78,28,60,166,0.1429,0.312138728,0.047619048,0.08994709,0.1024,89,40,60,-11,-12,0,632096404.6,151701.4708
153,1002,8,6000,806000,Platte Valley School District RE-3,0,KG,12,G5420, ,E,740002410,3494483,40.8847454,-102.490377,1.427614744,0.079438511,97000US0806000,806000,PLATTE VALLEY - REVERE,REVERE SCHOOL DISTRICT,Accredited,2865,71,106,108,115,120,121,114,109,106,132,119,5,13809,581,14390,N/A,4.4,750,156,26,35278,27,29,41,97,0.1176,0.630252101,0,0.201680672,0.268,0,0,34,27,29,7,1302105086,179880.9901
154,1003,8,6030,806030,Plateau School District RE-5,0,PK,12,G5420, ,E,985629763,166575,40.8754515,-103.2920182,1.906632228,0.105379582,97000US0806030,806030,PLATEAU,PLATEAU RE-5,Distinction,1870,84,158,164,163,176,182,197,196,177,172,160,-37,13073,2993,16066,N/A,-18.8,597,36,10,55938,33,28,33,95,0.05,0.34965035,0.00625,0.2125,0.1053,0,19,57,33,9,-24,1728194950,226947.5221
155,1004,8,6060,806060,Peyton School District 23-JT,0,PK,12,G5420, ,E,322902075,193370,39.0590669,-104.4869427,1.043076589,0.033617985,97000US0806060,806060,PEYTON,PEYTON 23 JT,Improvement,1060,55,689,652,694,694,654,656,606,622,664,652,-4,8318,0,8318,N/A,-0.6,3902,238,0,53750,327,334,271,933,0.2132,0.213607595,0.018404908,0.102760736,0,210,34,233,117,300,38,536402891.6,131078.2007
156,1005,8,6090,806090,Pritchett School District RE-3,0,PK,12,G5420, ,E,1700309086,216455,37.3564633,-102.9631276,1.918951654,0.172918229,97000US0806090,806090,PRITCHETT,PRITCHETT RE-3,Insufficient State Data: Low Participation,240,0,70,72,72,66,76,47,53,37,50,45,-2,15680,2000,17680,N/A,-4.3,237,25,0,48750,2,5,21,27,0.1111,0.578947368,0,0.177777778,0,0,0,0,2,5,21,2695319844,250499.1961
157,1006,8,6120,806120,Pueblo City School District 60,0,PK,12,G5420, ,E,230896558,6486911,38.2514996,-104.6435747,0.780762533,0.024431998,97000US0806120,806120,PUEBLO CITY,PUEBLO CITY 60,Improvement,2690,48,18290,18504,18304,18420,17877,17692,17990,17960,17665,17299,-393,7873,0,7873,N/A,-2.2,106257,26442,6213,34672,8675,4412,5550,18637,0.7478,0.773267807,0.059309787,0.125093936,0.3334,3871,1018,205,4804,3394,5345,385537974.8,96874.85429
158,1007,8,6150,806150,Pueblo County School District 70,0,PK,12,G5420, ,E,4726049049,21016960,38.1625211,-104.5738459,4.022216405,0.488209907,97000US0806150,806150,PUEBLO RURAL,PUEBLO COUNTY 70,Accredited,2700,56,8798,8901,8929,8836,8971,9107,9257,9310,9582,9648,541,7271,0,7271,N/A,5.9,50337,4561,1016,61231,3673,2490,3229,9392,0.4226,0.422324388,0.036898839,0.132980929,0.1082,2607,1302,1734,1066,1188,1495,7698141630,500028.8572
159,1008,8,6180,806180,Rangely School District RE-4,0,PK,12,G5420, ,E,3309111158,34258,39.9402205,-108.6653685,2.59227534,0.34875131,97000US0806180,806180,RANGELY,RANGELY RE-4,Accredited,2720,64,495,517,505,480,525,561,555,542,546,536,-25,8069,1376,9445,N/A,-4.5,2788,452,52,68924,295,90,123,508,0.0951,0.314516129,0.007462687,0.106343284,0.1024,314,107,115,-19,-17,8,5637448380,327334.0968
160,1009,8,6210,806210,Ridgway School District R-2,0,PK,12,G5420, ,E,886321081,1294930,38.2012215,-107.820295,2.279056504,0.091281322,97000US0806210,806210,RIDGWAY,RIDGWAY R-2,Accredited,2590,72,349,380,380,350,366,336,343,356,356,334,-2,10780,1380,12161,N/A,-0.6,2264,134,15,60086,85,81,93,259,0.1527,0.302631579,0.023952096,0.077844311,0.0579,0,83,98,85,-2,-5,1439248038,280924.7061
161,1010,8,6240,806240,Garfield School District RE-2,0,PK,12,G5420, ,E,2083023133,6982289,39.6035624,-107.6914306,2.070758481,0.219131068,97000US0806240,806240,RIFLE,GARFIELD RE-2,Improvement,1195,53,4403,4848,4935,4980,4717,4730,4818,4828,4847,4898,168,7387,912,8299,N/A,3.6,24087,3263,1013,53634,2879,1042,1565,5487,0.4984,0.518800169,0.232135566,0.100244998,0.1846,1689,671,1308,1190,371,257,3523711226,261521.2473
162,1011,8,6270,806270,Rocky Ford School District R-2,0,KG,12,G5420, ,E,344287930,4305765,38.003602,-103.7588389,0.898906838,0.035762995,97000US0806270,806270,ROCKY FORD,ROCKY FORD R-2,Improvement,2530,55,850,859,878,862,877,825,805,809,822,837,12,8436,0,8436,N/A,1.5,5749,1201,255,31659,487,260,236,982,0.7515,0.778881988,0.054958184,0.119474313,0.2597,0,0,227,487,260,9,562502821.8,112571.8876
163,1012,8,6300,806300,Mountain Valley School District RE-1,0,KG,12,G5420, ,E,3647874033,1133274,38.1324118,-106.2972506,3.7472662,0.374798977,97000US0806300,806300,MOUNTAIN VALLEY,MOUNTAIN VALLEY RE 1,Improvement,2790,48,138,127,128,120,121,120,135,138,134,132,12,14180,0,14180,N/A,10,1552,282,61,26875,69,61,55,186,0.25,0.827868852,0.007575758,0.143939394,0.328,0,0,0,69,61,55,5903161461,461075.6146
164,1013,8,6330,806330,Salida School District R-32,0,PK,12,G5420, ,E,1214619640,745004,38.547839,-106.0518097,1.88507445,0.12558901,97000US0806330,806330,SALIDA,SALIDA R-32,Accredited,500,74,1051,1030,1085,1071,1102,1156,1176,1194,1197,1229,73,7558,1259,8816,N/A,6.3,10001,913,108,47019,530,279,374,1183,0.1937,0.351027397,0.017900732,0.09275834,0.0913,429,346,357,101,-67,17,1989887109,233113.2746
165,1014,8,6360,806360,Centennial School District R-1,0,PK,12,G5420, ,E,1726940499,5062663,37.1368555,-105.4471718,1.878729816,0.17566355,97000US0806360,806360,CENTENNIAL,CENTENNIAL R-1,Accredited,640,64,217,217,220,248,248,190,208,221,229,215,25,11972,0,11972,N/A,13.2,1604,352,67,28977,119,40,40,200,0.9442,0.778894472,0.03255814,0.102325581,0.335,0,0,62,119,40,-22,2730870211,225210.4337
166,1015,8,6390,806390,Sanford School District 6J,0,PK,12,G5420, ,E,358571286,571049,37.2786043,-105.8081166,1.267684144,0.036483383,97000US0806390,806390,SANFORD,SANFORD 6J,Accredited,560,74,354,346,340,346,354,360,395,391,372,393,33,9184,0,9184,N/A,9.2,1470,177,20,53611,146,86,78,309,0.3282,0.588075881,0.010178117,0.015267176,0.0647,204,72,117,-58,14,-39,568114921.8,156409.5021
167,1016,8,6420,806420,Sangre de Cristo School District RE-22J,0,PK,12,G5420, ,E,1196506522,626000,37.6754256,-105.7627124,1.820276963,0.12227349,97000US0806420,806420,SANGRE DE CRISTO,SANGRE DE CRISTO RE-22J,Distinction,110,84,330,317,323,312,310,316,324,337,307,297,-19,10095,0,10095,N/A,-6,1241,260,71,39236,177,35,37,249,0.3199,0.59430605,0.063973064,0.053872054,0.2851,148,65,84,29,-30,-47,1914805281,220110.9735
168,1017,8,6450,806450,Sargent School District RE-33J,0,KG,12,G5420, ,E,303817725,103196,37.651013,-106.0985565,1.016110569,0.03102922,97000US0806450,806450,SARGENT,SARGENT RE-33J,Accredited,2750,70,471,466,484,478,453,449,447,424,406,376,-73,8716,184,8900,N/A,-16.3,1016,96,30,45968,77,68,71,216,0.3059,0.359042553,0.031914894,0.069148936,0.1389,163,96,117,-86,-28,-46,485648042.4,126066.9838
169,1018,8,6480,806480,Widefield School District 3,0,PK,12,G5420, ,E,152468766,1286852,38.7561648,-104.6974328,0.577557594,0.015935355,97000US0806480,806480,WIDEFIELD,WIDEFIELD 3,Accredited,990,61,8488,8504,8851,8963,9184,9297,9364,9283,9435,9634,337,7272,437,7708,-,3.6,47457,4505,1522,59473,4565,2629,3015,10210,0.5072,0.469774534,0.020552211,0.126427237,0.1491,4074,2033,1359,491,596,1656,253245943.3,71889.71543
170,1019,8,6510,806510,Hi-Plains School District R-23,0,PK,12,G5420, ,E,1453078583,62555,39.2943894,-102.8203921,1.736459495,0.151727346,97000US0806510,806510,HI PLAINS,HI-PLAINS R-23,Accredited,1460,67,114,124,122,107,129,131,121,111,123,104,-27,13780,1388,15168,N/A,-20.6,485,78,9,33676,11,11,38,59,0.2404,0.522222222,0.028846154,0.086538462,0.1525,54,17,33,-43,-6,5,2429544474,227660.0002
171,1020,8,6540,806540,Sheridan School District 2,0,PK,12,G5420, ,E,8431486,313177,39.6477575,-105.0174566,0.15895516,0.000917594,97000US0806540,806540,SHERIDAN,SHERIDAN 2,Improvement,123,46,1519,1640,1595,1653,1641,1584,1583,1536,1538,1511,-73,8888,736,9624,N/A,-4.6,8434,2353,824,40327,632,443,506,1581,0.869,0.90701107,0.352746525,0.138318994,0.5212,0,0,369,632,443,137,14767165.44,20273.46854
172,1021,8,6570,806570,Silverton School District 1,0,PK,12,G5420, ,E,1003638261,2035929,37.7810745,-107.6702566,1.716640655,0.102833639,97000US0806570,806570,SILVERTON,SILVERTON 1,Insufficient State Data: Low Participation,2820,55,64,64,66,65,65,62,64,62,74,80,18,16156,294,16450,N/A,29,606,100,7,36324,13,8,7,27,0.3375,0.602739726,0.3125,0.05,0.2593,0,25,0,13,-17,7,1611963629,209303.346
173,1022,8,6600,806600,Big Sandy School District 100J,0,PK,12,G5420, ,E,1385889701,84865,39.0796323,-103.9454038,2.327206913,0.14431167,97000US0806600,806600,BIG SANDY,BIG SANDY 100J,Distinction,940,76,344,305,319,331,330,300,318,295,301,306,6,10618,0,10618,N/A,2,1692,182,39,55104,100,68,104,271,0.134,0.4,0.003267974,0.091503268,0.1439,154,62,90,-54,6,14,2304252784,294520.4332
174,1023,8,6630,806630,Springfield School District RE-4,0,PK,12,G5420, ,E,1473296526,5040504,37.4295502,-102.6539976,2.157512199,0.150490208,97000US0806630,806630,SPRINGFIELD,SPRINGFIELD RE-4,Accredited,250,63,305,304,300,292,300,312,299,299,307,322,10,9928,0,9928,N/A,3.2,1901,474,95,34952,153,60,108,321,0.2453,0.663043478,0.01242236,0.136645963,0.296,191,58,73,-38,2,35,2348349501,270771.6756
175,1024,8,6660,806660,Steamboat Springs School District RE-2,0,KG,12,G5420, ,E,2620288899,9540068,40.6878542,-106.8629945,3.298933909,0.28015102,97000US0806660,806660,STEAMBOAT SPRINGS,STEAMBOAT SPRINGS RE-2,Distinction,2770,80,2077,2142,2152,2233,2282,2320,2401,2468,2563,2580,260,7636,1004,8640,0.61,11.2,17677,1502,99,68676,1322,560,809,2690,0.1798,0.157957245,0.081782946,0.124418605,0.0368,1117,631,755,205,-71,54,4578296082,418083.3563
176,1025,8,6690,806690,Valley School District RE-1,0,PK,12,G5420, ,E,2171465957,13950761,40.730786,-103.112288,3.638678263,0.232964219,97000US0806690,806690,VALLEY,VALLEY RE-1,Accredited,1828,67,2501,2479,2502,2436,2350,2315,2305,2272,2295,2284,-31,7387,235,7622,N/A,-1.3,18199,3211,648,41545,1256,505,903,2665,0.3008,0.49904943,0.052977233,0.165061296,0.2432,553,494,606,703,11,297,3809752503,452296.4464
177,1026,8,6720,806720,Prairie School District RE-11,0,PK,12,G5420, ,E,1721349435,132425,40.795453,-103.77459,1.947851477,0.183539827,97000US0806720,806720,PRAIRIE,PRAIRIE RE-11,Distinction,3147,83,166,158,167,174,171,181,196,190,207,217,36,12179,380,12559,N/A,19.9,414,54,14,57750,40,20,35,95,0.0553,0.295566502,0,0.078341014,0.1474,112,49,56,-72,-29,-21,3002129329,251420.025
178,1027,8,6750,806750,Strasburg School District 31J,0,PK,12,G5420, ,E,587815706,2945458,39.8043495,-104.3051552,1.322023588,0.062133122,97000US0806750,806750,STRASBURG,STRASBURG 31J,Accredited,60,68,1006,1009,1041,1026,1022,1001,1072,1042,1036,972,-29,7906,314,8219,-,-2.9,5328,243,27,78070,473,287,446,1206,0.2016,0.268943436,0.054526749,0.16255144,0.0224,450,0,320,23,287,126,1002282849,176368.1287
