FID,OBJECTID,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,GEOID_NUM,FIN_NAME,DIST_NAME,DIST_PLAN,DIST_CODE,DIST_DPFSC,EN_07,EN_08,EN_09,EN_10,EN_11,EN_12,EN_13,EN_14,EN_15,EN_16,F5_NUM_CHG,PPR,PPR MLO,PPR (Includes MLO),MLO Sharing (%),F5_YEAR_GR,POP_TOT,POP_POV,K12_POV,HH_INCOME,ELEM_POP,MIDDLE_POP,HIGH_POP,K12_POP,PERCENT_MINORITY,FRL_PERCENT,ELL_PERCENT,IEP_PERCENT,POV_P,ELEM_QUAL,MIDDLE_QUA,HIGH_QUAL,ELEM_NEED,MI_NEED,HIGH_NEED,Shape__Area,Shape__Length
109,958,8,4650,804650,Hoehne Reorganized School District 3,0,PK,12,G5420, ,E,3041211858,437022,37.3757802,-104.1619008,3.346039727,0.309437162,97000US0804650,804650,HOEHNE,HOEHNE REORGANIZED 3,Accredited,1600,65,337,335,329,334,351,385,359,363,359,354,-31,9357,0,9357,N/A,-8.1,1820,138,27,55721,98,58,115,272,0.5367,0.384180791,0.011299435,0.096045198,0.0993,0,87,110,98,-29,5,4825646655,415575.1634
110,959,8,4680,804680,Holly School District RE-3,0,PK,12,G5420, ,E,1135130694,3759815,37.9612677,-102.1449177,1.835529333,0.1167721,97000US0804680,804680,HOLLY,HOLLY RE-3,Accredited,2670,63,304,299,291,292,294,292,299,302,293,308,16,9783,0,9783,N/A,5.5,1292,274,58,40726,120,47,73,240,0.5584,0.701754386,0.198051948,0.090909091,0.2417,0,0,92,120,47,-19,1835567999,241588.1203
111,960,8,4710,804710,Holyoke School District RE-1J,0,KG,12,G5420, ,E,1364165757,309293,40.5637547,-102.2539564,2.382610455,0.145089173,97000US0804710,804710,HOLYOKE,HOLYOKE RE-1J,Accredited,2620,59,588,608,631,614,633,630,568,593,594,581,-49,8069,569,8638,N/A,-7.8,2976,534,93,44154,228,157,148,533,0.4716,0.425129088,0.246127367,0.101549053,0.1745,265,51,166,-37,106,-18,2366643911,302642.1815
112,961,8,4740,804740,Genoa-Hugo School District C-113,0,PK,12,G5420, ,E,2197780893,8851202,39.1207811,-103.4286835,2.870187893,0.229836197,97000US0804740,804740,GENOA-HUGO,GENOA-HUGO C113,Accredited,1780,70,208,182,190,178,185,176,178,171,180,187,11,12853,0,12853,N/A,6.3,1177,179,25,39769,120,79,48,247,0.0856,0.317073171,0,0.181818182,0.1012,105,41,41,15,38,7,3671088151,371318.5388
113,962,8,4770,804770,Ignacio School District 11-JT,0,KG,12,G5420, ,E,715018252,10500465,37.0924549,-107.5678312,1.541278392,0.073529032,97000US0804770,804770,IGNACIO,IGNACIO 11 JT,Priority Improvement,1540,39,811,813,797,751,759,718,763,791,857,869,151,8671,1336,10007,N/A,21,6105,666,144,52911,472,230,319,1021,0.6743,0.576524741,0.070195627,0.13693901,0.141,0,0,0,472,230,319,1142232017,187599.4488
114,963,8,4800,804800,Jefferson County School District R-1,0,PK,12,G5420, ,E,1989125359,26094913,39.5795106,-105.2454623,2.703189482,0.211289692,97000US0804800,804800,JEFFERSON,JEFFERSON COUNTY R-1,Accredited,1420,67,86182,85887,86250,85938,85751,85508,85983,86547,86708,86347,839,7472,1399,8871,0.91,1,546585,46598,9858,70196,39440,20476,28049,87966,0.3326,0.326472633,0.078775175,0.093599083,0.1121,33626,14591,23505,5814,5885,4544,3397602588,353507.2665
115,964,8,4830,804830,Johnstown-Milliken School District RE-5J,0,PK,12,G5420, ,E,210109904,2063248,40.3297397,-104.9031168,0.843731058,0.022484011,97000US0804830,804830,JOHNSTOWN,JOHNSTOWN-MILLIKEN RE-5J,Accredited,3110,59,2900,3055,3136,3138,3271,3363,3548,3732,3787,3830,467,7272,135,7407,0.00,13.9,19325,429,84,75589,1993,1246,1117,4357,0.3274,0.285366513,0.064751958,0.097389034,0.0193,894,843,979,1099,403,138,365480057.2,105132.0525
116,965,8,4860,804860,Julesburg School District RE-1,0,PK,12,G5420, ,E,636911327,36263,40.8732359,-102.1957082,1.74095662,0.068038934,97000US0804860,804860,JULESBURG,JULESBURG RE-1,Improvement,2862,46,284,811,1237,1787,888,1154,955,794,659,633,-521,7749,0,7749,N/A,-45.1,1566,179,43,47222,100,63,81,244,0.3555,0.55008489,0.022116904,0.120063191,0.1762,0,0,69,100,63,12,1114996020,218495.6575
117,966,8,4890,804890,Karval School District RE-23,0,PK,12,G5420, ,E,2002031433,5928202,38.7165156,-103.5075664,2.204094403,0.207972536,97000US0804890,804890,KARVAL,KARVAL RE-23,Priority Improvement,1810,43,222,257,273,235,194,122,100,45,43,47,-75,15600,0,15600,N/A,-61.5,286,53,5,41250,18,2,10,29,0,0.585365854,0,0.170212766,0.1724,30,0,9,-12,2,1,3303049760,272588.5745
118,967,8,4920,804920,Keenesburg School District RE-3J,0,PK,12,G5420, ,E,1238746907,5900555,40.0968494,-104.4477554,1.989071919,0.131455176,97000US0804920,804920,KEENESBURG,WELD COUNTY SCHOOL DISTRICT RE-3J,Improvement,3090,53,2105,2157,2149,2276,2276,2313,2306,2386,2341,2352,39,7349,546,7895,0.93,1.7,12245,1799,515,59253,1042,611,826,2478,0.4588,0.431258397,0.169217687,0.078231293,0.2078,427,52,0,615,559,826,2129661919,245287.5463
119,968,8,4950,804950,Platte Valley School District RE-7,0,PK,12,G5420, ,E,736244692,5234225,40.3692176,-104.4609799,1.328748624,0.078626622,97000US0804950,804950,PLATTE VALLEY,PLATTE VALLEY RE-7,Accredited,3130,70,1126,1137,1122,1057,1086,1047,1094,1129,1110,1108,61,7697,1760,9457,N/A,5.8,5012,470,119,70997,455,224,388,1066,0.3664,0.375451264,0.10198556,0.08032491,0.1116,477,256,375,-22,-32,13,1278863432,169903.9332
