LATITUDE,LONGITUDE,DISTRICT_CODE,ADDRESS,CITY,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SCHOOL_LEVEL,ENROLL_16_17,AEC,CHARTER,MINORITY_PERCENT,FRL_PERCENT,SPED_PERCENT,ELL_PERCENT,17_SPF_FINAL,17_SPF_SCORE
39.698288,-104.921193,880,1000 SOUTH HOLLY STREET,DENVER,DENVER COUNTY 1,5716,MC MEEN ELEMENTARY SCHOOL,E,637,N,N,0.74,0.77,0.09,0.43,Performance,0.59
40.4712401,-104.908351,3100,1000 STONE MOUNTAIN DRIVE,WINDSOR,WINDSOR RE-4,7958,SKYVIEW ELEMENTARY SCHOOL,E,377,N,N,0.23,0.24,0.13,N/A,Performance,0.70
39.9281236,-105.0821311,480,1000 WEST 10TH AVENUE,BROOMFIELD,BOULDER VALLEY RE 2,4792,KOHL ELEMENTARY SCHOOL,E,485,N,N,0.26,0.22,0.16,0.02,Improvement,0.50
39.2446378,-106.3026523,1510,1000 WEST 4TH STREET,LEADVILLE,LAKE COUNTY R-1,4904,LAKE COUNTY HIGH SCHOOL,H,292,N,N,0.75,0.64,0.11,0.30,Performance,0.57
39.2446378,-106.3026523,1510,1000 WEST 4TH STREET,LEADVILLE,LAKE COUNTY R-1,4904,LAKE COUNTY HIGH SCHOOL,M,132,N,N,0.75,0.64,0.11,0.30,Performance,0.79
39.2465902,-106.3059876,1510,1000 WEST 6TH STREET,LEADVILLE,LAKE COUNTY R-1,4901,LAKE COUNTY INTERMEDIATE SCHOOL,E,229,N,N,0.76,0.73,0.12,0.49,Performance,0.56
39.2465902,-106.3059876,1510,1000 WEST 6TH STREET,LEADVILLE,LAKE COUNTY R-1,4901,LAKE COUNTY INTERMEDIATE SCHOOL,M,73,N,N,0.76,0.73,0.12,0.49,Performance,0.56
40.2860282,-104.7782592,3080,1001 BIRCH STREET,GILCREST,WELD COUNTY RE-1,9032,VALLEY HIGH SCHOOL,H,567,N,N,0.58,0.46,0.08,0.15,Performance,0.53
38.8673087,-104.8043407,1010,1001 EAST VAN BUREN STREET,COLORADO SPRINGS,COLORADO SPRINGS 11,4090,MANN MIDDLE SCHOOL,M,485,N,N,0.50,0.74,0.14,0.06,Priority Improvement,0.36
40.03542,-105.2839685,480,1001 HAWTHORNE AVENUE,BOULDER,BOULDER VALLEY RE 2,3022,FOOTHILL ELEMENTARY SCHOOL,E,541,N,N,0.18,0.11,0.09,0.07,Performance,0.75
38.2274235,-103.7566111,770,1001 MAIN,ORDWAY,CROWLEY COUNTY RE-1-J,2054,CROWLEY COUNTY WARD INTERMEDIATE,E,63,N,N,0.47,0.80,0.17,N/A,Improvement,0.46
38.2274235,-103.7566111,770,1001 MAIN,ORDWAY,CROWLEY COUNTY RE-1-J,2054,CROWLEY COUNTY WARD INTERMEDIATE,M,42,N,N,0.47,0.80,0.17,N/A,Improvement,0.46
39.734428,-105.195231,1420,1001 ULYSSES STREET,GOLDEN,JEFFERSON COUNTY R-1,694,BELL MIDDLE SCHOOL,M,785,N,N,0.21,0.25,0.09,0.04,Performance,0.67
39.8501369,-104.9979449,8001,1001 W 84TH STREET,FEDERAL HEIGHTS,CHARTER SCHOOL INSTITUTE,654,THE PINNACLE CHARTER SCHOOL ELEMENTARY,E,980,N,Y,0.82,0.78,0.07,0.55,Performance,0.63
39.8501469,-104.9979649,8001,1001 W 84TH STREET,FEDERAL HEIGHTS,CHARTER SCHOOL INSTITUTE,6913,THE PINNACLE CHARTER SCHOOL MIDDLE,M,510,N,Y,0.84,0.74,0.09,0.42,Performance,0.61
39.8501669,-104.9979849,8001,1001 W 84TH STREET,FEDERAL HEIGHTS,CHARTER SCHOOL INSTITUTE,6914,THE PINNACLE CHARTER SCHOOL HIGH,H,515,N,Y,0.83,0.72,0.04,0.32,Performance,0.71
40.2094239,-104.8240417,3080,1004 MAIN STREET,PLATTEVILLE,WELD COUNTY RE-1,7058,SOUTH VALLEY MIDDLE SCHOOL,M,198,N,N,0.62,0.51,0.06,0.17,Performance,0.70
39.698919,-104.8396058,180,1009 SOUTH UVALDA ST,AURORA,ADAMS-ARAPAHOE 28J,464,AURORA HILLS MIDDLE SCHOOL,M,908,N,N,0.89,0.78,0.14,0.40,Priority Improvement,0.39
38.977629,-104.7760042,1040,10095 LEXINGTON DRIVE,COLORADO SPRINGS,ACADEMY 20,6158,MOUNTAIN VIEW ELEMENTARY SCHOOL,E,589,N,N,0.26,0.08,0.08,0.02,Performance,0.92
40.6395884,-104.7559179,3145,101 2ND STREET,PIERCE,AULT-HIGHLAND RE-9,3958,HIGHLAND ELEMENTARY SCHOOL,E,392,N,N,0.33,0.50,0.08,0.14,Performance,0.64
39.5811007,-107.5320115,1195,101 ALDER AVENUE,NEW CASTLE,GARFIELD RE-2,4510,KATHRYN SENOR ELEMENTARY SCHOOL,E,276,N,N,0.42,0.44,0.08,0.26,Performance,0.57
38.3223586,-104.7428791,2700,101 CIVIC CENTER DRIVE,PUEBLO WEST,PUEBLO COUNTY 70,7879,SWALLOWS CHARTER ACADEMY HIGH SCHOOL,H,154,N,Y,0.27,0.29,0.07,0.05,Performance,0.65
40.0003568,-105.0901107,480,101 E. BASELINE ROAD,LAFAYETTE,BOULDER VALLEY RE 2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,E,493,N,N,0.66,0.46,0.15,0.34,Improvement,0.48
39.6606637,-106.0833896,3000,101 HAMILTON CREEK ROAD,SILVERTHORNE,SUMMIT RE-1,8376,SILVERTHORNE ELEMENTARY SCHOOL,E,340,N,N,0.75,0.69,0.10,0.54,Improvement,0.48
39.9984675,-105.0958155,480,101 NORTH BERMONT AVENUE,LAFAYETTE,BOULDER VALLEY RE 2,4874,LAFAYETTE ELEMENTARY SCHOOL,E,664,N,N,0.26,0.19,0.13,0.07,Performance,0.73
37.0180707,-103.8836282,1750,101 SADDLEROCK DRIVE,BRANSON,BRANSON REORGANIZED 82,978,BRANSON SCHOOL,E,33,N,N,0.35,0.61,N/A,N/A,Improvement,0.46
37.0180707,-103.8836282,1750,101 SADDLEROCK DRIVE,BRANSON,BRANSON REORGANIZED 82,978,BRANSON SCHOOL,H,12,N,N,0.35,0.61,N/A,N/A,Performance,1.00
37.0180707,-103.8836282,1750,101 SADDLEROCK DRIVE,BRANSON,BRANSON REORGANIZED 82,978,BRANSON SCHOOL,M,20,N,N,0.35,0.61,N/A,N/A,Priority Improvement,0.40
37.6906928,-108.0317581,890,101 SOUTH GLASGOW AVENUE,RICO,DOLORES COUNTY RE NO.2,50,RICO ELEMENTARY SCHOOL,E,8,N,N,0.00,N/A,N/A,N/A,Insufficient State Data,N/A
39.735832,-104.8704509,180,10100 EAST 13TH AVE,AURORA,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,H,382,N,N,0.95,0.86,0.10,0.55,Performance,0.61
39.735832,-104.8704509,180,10100 EAST 13TH AVE,AURORA,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,M,875,N,N,0.95,0.86,0.10,0.55,Priority Improvement,0.40
38.7672857,-102.792034,510,102  W. 5TH AVENUE,KIT CARSON,KIT CARSON R-1,4738,KIT CARSON ELEMENTARY SCHOOL,E,60,N,N,0.23,0.56,N/A,N/A,Insufficient State Data,N/A
38.7672857,-102.792034,510,102 5TH AVENUE,KIT CARSON,KIT CARSON R-1,4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,H,38,N,N,0.21,0.50,N/A,N/A,Performance,0.81
38.7672857,-102.792034,510,102 5TH AVENUE,KIT CARSON,KIT CARSON R-1,4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,M,28,N,N,0.21,0.50,N/A,N/A,N/A,N/A
40.9907975,-102.2664663,2862,102 WEST 6TH STREET,JULESBURG,JULESBURG RE-1,4492,JULESBURG HIGH SCHOOL,H,69,N,N,0.39,0.55,0.11,N/A,Performance,0.71
40.9907975,-102.2664663,2862,102 WEST 6TH STREET,JULESBURG,JULESBURG RE-1,4492,JULESBURG HIGH SCHOOL,M,40,N,N,0.39,0.55,0.11,N/A,N/A,N/A
40.1666672,-105.109067,470,1020 4TH AVENUE,LONGMONT,ST VRAIN VALLEY RE 1J,1434,CENTRAL ELEMENTARY SCHOOL,E,411,N,N,0.32,0.35,0.10,0.12,Performance,0.58
39.851095,-104.9731167,20,1020 DAWSON DRIVE,THORNTON,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,E,420,N,N,0.86,0.80,0.10,0.45,Improvement,0.44
39.731543,-104.815011,180,1020 EAGLE ST,AURORA,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,E,645,N,N,0.96,0.95,0.14,0.72,Performance,0.67
39.5313836,-104.9617788,900,10200 SOUTH PIEDMONT DRIVE,HIGHLANDS RANCH,DOUGLAS COUNTY RE 1,8382,SUMMIT VIEW ELEMENTARY SCHOOL,E,463,N,N,0.19,0.04,0.13,0.02,Performance,0.77
39.5313836,-104.9617788,900,10200 SOUTH PIEDMONT DRIVE,HIGHLANDS RANCH,DOUGLAS COUNTY RE 1,8382,SUMMIT VIEW ELEMENTARY SCHOOL,M,73,N,N,0.19,0.04,0.13,0.02,Performance,0.77
39.8772481,-105.1123779,1420,10200 W 100TH AVENUE,WESTMINSTER,JEFFERSON COUNTY R-1,9299,WAYNE CARLE MIDDLE SCHOOL,M,429,N,N,0.25,0.25,0.11,0.05,Performance,0.73
38.0715899,-103.2301594,290,1021 2ND STREET,LAS ANIMAS,LAS ANIMAS RE-1,4986,LAS ANIMAS JUNIOR HIGH SCHOOL,M,88,N,N,0.34,0.86,0.23,N/A,Performance,0.73
37.1622504,-104.5081024,1580,1021 PIERCE STREET,TRINIDAD,TRINIDAD 1,2481,ECKHART ELEMENTARY SCHOOL,E,144,N,N,0.87,0.83,0.17,N/A,Performance,N/A
38.978734,-104.774354,1040,10215 LEXINGTON DRIVE,COLORADO SPRINGS,ACADEMY 20,74,CHALLENGER MIDDLE SCHOOL,M,879,N,N,0.26,0.07,0.08,0.01,Performance,0.74
